UserId,Department/Region,Initiative/programme/project's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,Country or Region,New or long-standing,Funding source (Options: regular budget or extrabudgetary),DC code if applicable,"Focus 
(Options: Youth only or Youth is one of the target groups)",Is it part of a UN Joint Programme (Yes or No),year
USR-202506-0002,Statistics,,,,,,,,,,,2024
USR-202506-0003,Region: Asia and the Pacific,Myanmar Programme on the Elimination of Child Labour (My-PEC),MMR101,https://www.ilo.org/projects-and-partnerships/projects/myanmar-programme-elimination-child-labour-my-pec/the-project,"The project aimed at creating a multi-stakeholder approach to addressing child labour in Myanmar. Its objectives are: Expanding knowledge base on child labour in Myanmar. 
Increase awareness and knowledge about child labour.
Improve legislation and strengthen national and local capacities to address child labour in compliance with international standards.
Enhance capacity of national and local to networks and advocate on child labour issues.
Reduce child labour in target communities through direct interventions.",Asia and the Pacific,Long-standing,extrabudgetary,MMR/23/50/USA ,Youth are one of the target groups,No,2024
USR-202506-0003,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,Support to the conduct of the regional consultations for the development of the National Employment Masterplan,PHL 102,https://www.ilo.org/resource/news/philippines-inks-covenant-paves-way-decent-work,The ILO provided technical assistance and funding support to the conduct of the National Employment Summit (NES) with participation from employment policy experts from the ILO Headquarters and the ILO Regional Office for Asia and the Pacific. ILO also supported the conduct of regional consultations for the development of the Trabaho Para sa Bayan Plan (National Employment Masterplan) under the TPB Act.,Asia and the Pacific,New,Regular Budget,,Youth are one of the target groups,No,2024
USR-202506-0004,Region: Asia and the Pacific,Support to the development of the National Green Jobs Human Resources Development Plan,PHL 102,,"The project supported the baseline research on key sectors and review of national development and climate action policies & plans, labor market data (Renewable Energy, Construction, Transport, Manufacturing, Sustainable Agriculture and Ecotourism), and the plan's implementation framework aligned to the LEP, and an initial attempt for a sector plan for Renewable Energy. ",Asia and the Pacific,Long-standing,extrabudgetary,,Youth are one of the target groups,No,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0005,Region: Arab States,"Supporting Resilient Livelihoods, Food Security and Climate Adaptation in Yemen (ERRY III) Joint Programme.",YEM155,https://www.ilo.org/ar/resource/article/%D8%A3%D8%B3%D9%85%D9%87%D8%A7%D9%86-%D9%82%D8%B5%D8%A9-%D9%86%D8%AC%D8%A7%D8%AD-%D9%81%D9%8A-%D8%B9%D8%A7%D9%84%D9%85-%D8%B5%D9%8A%D8%A7%D9%86%D8%A9-%D8%A7%D9%84%D8%A3%D8%AC%D9%87%D8%B2%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D8%B2%D9%84%D9%8A%D8%A9,"Increased capacity of national institutions self-employment and Business Development Services through the ILO training package “Start and Improve Your Business – SIYB”
-	4 national trainers (50% women) passed the certification process of master trainers.
-	26 trainers, including 9 females, certified as SIYB national trainers.
-	210 women business owners trained in Improve Your Business (IYB) and Business Continuity Planning (BCP).
-	4,800 provided with entrepreneurship and life skills training program.
-	3,000 beneficiaries supported with microbusiness grants (38% women)",Arab States,Long-standing,extrabudgetary,"ERRY III YEM/21/01/UND (108526),",Youth are one of the target groups,Yes,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,,2024
USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee,SBU104,,technical assistance to beneficiary economies,Europe and Central Asia,New,extrabudgetary,RER2402EUR,Youth only,,2024
USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee,MKD130,,technical assistance to beneficiary economies,Europe and Central Asia,New,extrabudgetary,RER2402EUR,Youth only,,2024
USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee,ALB132,,technical assistance to beneficiary economies,Europe and Central Asia,New,extrabudgetary,RER2402EUR,Youth only,,2024
USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee,MNE129,,technical assistance to beneficiary economies,Europe and Central Asia,New,extrabudgetary,RER2402EUR,Youth only,,2024
USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee,SRB130,,technical assistance to beneficiary economies,Europe and Central Asia,New,extrabudgetary,RER2402EUR,Youth only,,2024
USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee,BiH128,,technical assistance to beneficiary economies,Europe and Central Asia,New,extrabudgetary,RER2402EUR,Youth only,,2024
USR-202506-0009,Region: Africa,Strategy for youth employment in Agriculture in Mozambique,MOZ101,,"Review and provision of technical inputs into the draft national startegy for youth employment in Agriculture in Mozambique, in line with the Youth Employment Strategy for Africa",Africa,New,extrabudgetary,,Youth only,,2024
USR-202506-0009,Region: Africa,Youth Employment Strategy for Africa (YESA),RAF 109,,Provision of technical inputs into the draft youth employment strategy for Africa before presentation to the AU structures for approval,Africa,New,Regular Budget,,Youth only,,2024
USR-202506-0009,Region: Africa,National Employment Policy and Strategy for Uganda,UGA131,,Facilitating of technical support to tripartite constituents towards the finalization of the National Employment Policy and Strategy for Uganda,Africa,New,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0011,Research and Publications,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0013,Region: Europe and Central Asia,,,,,,,,,,,2024
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",ProAgroYouth,DZ103,,Support to initiatives to promote youth entrepreneurship through innovation challenge and training,Africa,Long-standing,extrabudgetary,RAF/21/18/IFA,Youth only,No,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",ProAgro,ETH128,,Support to initiatives to promote youth employment in key agricultural value chains,Africa,Long-standing,extrabudgetary,ETH/20/50/DEU,Youth only,No,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",JEUN'ESS,TUN103,,Support to initiatives to promote the social and solidarity economy for the benefit of youth,Africa,Long-standing,extrabudgetary,TUN/18/06/EUR,Youth only,No,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",MozTrabalha,MOZ105,,Support to initiatives to develop key value chains for the benefit of youth,Africa,Long-standing,extrabudgetary,MOZ/22/01/SWE,Youth are one of the target groups,No,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",IPTIC,TUN103,,Support to ininitiatves to develop digital economy value chains for the benefit of youth,Africa,Long-standing,extrabudgetary,TUN/21/03/KOR,Youth are one of the target groups,No,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",Digital PINAS,PHL104,,Support to initiatives to promote the digital economy for the benefit of youth,Asia and the Pacific,Long-standing,extrabudgetary,PHL/24/51/UND,Youth are one of the target groups,Yes,2024
USR-202506-0017,Sectoral Policies,,,,,,,,,,,2024
USR-202506-0017,Sectoral Policies,,,,,,,,,,,2024
USR-202506-0017,Sectoral Policies,,,,,,,,,,,2024
USR-202506-0018,Universal Social Protection,,,,,,,,,,,2024
USR-202506-0018,Universal Social Protection,,,,,,,,,,,2024
USR-202506-0018,Universal Social Protection,,,,,,,,,,,2024
USR-202506-0019,Region: Arab States,Regional Youth NEET programme (2024-2026),3.1 and 3.4,,"The EU-funded programme, implemented by the ILO, aims to improve employment and training opportunities for young people not in employment, education, or training (NEET) in the region. It focuses on making public policies more effective and responsive to their needs. The programme will offer demand-driven technical assistance, promote regional knowledge exchange, and emphasize green and digital job pathways. It will also develop a baseline framework, coordination mechanisms, and field testing to support the design of long-term, sustainable youth employment strategies.",Africa,New,extrabudgetary,109449,Youth only,No,2024
USR-202506-0020,Region: Asia and the Pacific,Youth Employment Promotion Project,MNG155,https://webapps.ilo.org/DevelopmentCooperationDashboard/#bz9kypa,"Targeted at the textile (cashmere) and hospitality sectors, the project aims to improve youth employment by addressing skills mismatch and bi-partite efforts for workplace innovation.",Asia and the Pacific,New,extrabudgetary,MNG/24/50/KOR,Youth only,No,2024
USR-202506-0020,Region: Asia and the Pacific,Promoting the Global Development Initiative with a Focus on South-South Cooperation in Employment in ASEAN,KHM201,https://www.ilo.org/projects-and-partnerships/projects/promoting-global-development-initiative-focus-south-south-cooperation,"The project overall activities such as policy formulation and implementation, capacity building, technical assistance for employment diagnostics, monitoring and evaluation also carries great significance. In Cambodia, it supports review, development and implementation of national employment policy, with decent youth employment as one of the objectives.",Asia and the Pacific,New,extrabudgetary,RAS/22/13/CHN,Youth are one of the target groups,No,2024
USR-202506-0020,Region: Asia and the Pacific,Decent Employment for Youth in Cambodia (Phase II + Phase III),KHM201,https://www.ilo.org/projects-and-partnerships/projects/decent-employment-youth-cambodia-programme-phase-2; https://www.ilo.org/deyiii,"Phase II: Four UN agencies (ILO, UNESCO, UNICEF and UNIDO) collaborate to address youth employment challenges related to skills deficit, mismatch in the labour market, strengthen entrepreneurship and business ecosystem, and informality.
Phase III: Same four UN agencies as phase II. It aims to enhance youth employability and employment outcomes in decent and productive employment through demand-driven skills, more and improved working conditions to be provided by SMEs, and improved access to employment opportunities and improved employment policy frameworks.",Asia and the Pacific,Long-standing,extrabudgetary,"KHM/19/01/CHE;
KHM/23/05/CHE",Youth only,Yes,2024
USR-202506-0020,Region: Asia and the Pacific,Building Youth Capacity and Network in Asia Pacific,KHM202,"https://www.ilo.org/projects-and-partnerships/projects/building-youth-capacity-and-network-asia-pacific#:~:text=The%20ILO's%20technical%20cooperation%20project,%2C%20Thailand%20and%20Timor%2DLeste.","The project aims to connect to international and local organizations and to empower 50,000 youths by applying training tools.",Asia and the Pacific,New,extrabudgetary,RAS/22/51/JPN,Youth only,No,2024
USR-202506-0020,Region: Asia and the Pacific,"Young Futuremakers Malaysia: Promoting the career progression of young women through up/reskilling in STEM, including digital skills, and employment services",KHM204,https://www.ilo.org/projects-and-partnerships/projects/young-futuremakers-malaysia-promoting-career-progression-young-women,The project takes an integrated approach in supporting the employability of young workers as well as technical vocational education and training TVET trainees and graduates.,Asia and the Pacific,New,extrabudgetary,MYS/22/01/SCB,Youth only,No,2024
USR-202506-0020,Region: Asia and the Pacific,Young Futuremakers Thailand - Phase II,RAS,https://www.ilo.org/projects-and-partnerships/projects/young-futuremakers-thailand-phase-ii,"The project aims to: 1) improve employment-related knowledge, skills and labour market transitions of disadvantaged youth 2) strengthen institutional capacities to provide skills development and employment services. The provincial focus in 2024 has been in Yala and Songkhla.",Asia and the Pacific,Long-standing,extrabudgetary,THA/22/01/SCB,Youth only,No,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,Cooperative Business Plan Competition at Al-Quds University,DWCP Palestine / GLO/COOP,,"Youth-focused competition to foster entrepreneurial skills through cooperative business plans in tech, green energy, health, and digital media. Winners receive seed funding, technical support, and mentorship.",Arab States,New,extrabudgetary,,Youth only,No,2024
USR-202506-0022,Region: Arab States,Integration of ILO’s Think.COOP and Start.COOP into Al-Quds University’s incubators,DWCP Palestine / GLO/COOP,,Incorporates ILO cooperative entrepreneurship tools into university incubation programs to equip youth with skills for cooperative business creation and management,Arab States,New,extrabudgetary,,Youth only,No,2024
USR-202506-0022,Region: Arab States,Cooperative model visits and exchange on youth entrepreneurship (Rome Study Tour – CoopStartup model),DWCP Palestine / GLO/COOP,,"Study tour to Italy with exposure to CoopStartup and digital youth-led cooperative models (e.g., Indici Opponibili). Youth entrepreneurship promotion through cooperative ecosystems was emphasized.",Arab States,New,extrabudgetary,,Youth are one of the target groups,No,2024
USR-202506-0022,Region: Arab States,"Development of youth-led cooperative models in emerging sectors (IT, tourism, green services) – Post-Rome pilot actions",DWCP Palestine / GLO/COOP,,"Inspired by Rome tour, follow-up initiatives promote youth-led cooperatives in non-traditional sectors with tailored business feasibility support",Arab States,New,extrabudgetary,,Youth only,No,2024
USR-202506-0022,Region: Arab States,"Academic partnerships for cooperative education and youth training (e.g. Roma Tre, University of Bologna, Refresh Academy",DWCP Palestine / GLO/COOP,,MoUs and academic collaboration with Italian universities to integrate cooperative values and youth entrepreneurship in higher education,Arab States,New,extrabudgetary,,Youth are one of the target groups,No,2024
USR-202506-0022,Region: Arab States,Mentorship and coaching for youth cooperative startups through CSP,DWCP Palestine / GLO/COOP,,"Targeted mentorship and coaching are provided to youth-led cooperatives, particularly competition winners, linking them to technical, financial, and institutional support.",Arab States,New,extrabudgetary,,Youth only,No,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Mainstreaming Employment into Trade and Investment, phase 2 (METI II)",,https://www.ilo.org/projects-and-partnerships/projects/mainstreaming-employment-trade-and-investment-southern-mediterranean,,Arab States,Long-standing,extrabudgetary,,Youth are one of the target groups,No,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",STRENGTHEN 2: Employment impact assessment to maximise job creation in Africa,,https://www.ilo.org/projects-and-partnerships/projects/employment-impact-assessment-maximize-job-creation-africa,,Africa,Long-standing,extrabudgetary,,Youth are one of the target groups,No,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Projet de réalisation des activités d'appui à l'employabilité des jeunes par l'approche HIMO et de création des emplois pour les jeuens dans le cadre du Programme d'Appui au Secteur des Transports,,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Projet de Développement Multisectoriel et de Résilience Urbaine de la Ville de Kinshasa,,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",EIIP component under Prospects - Inclusive jobs and education for refugees and host communities in Ethiopia (Dutch funds for Ethiopia),,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",EIIP component under Prospects - Inclusive jobs and education for refugees and host communities in Kenya (Dutch funds for Ethiopia),,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","HIMO au niveau des perimetres irrigues et des pistes et renforcement de capacite des structures de gestion, deuxième phase",,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",EIIP component - Skills development and employment opportunities for vulnerable youth in Northern Mozambique.,,,,Africa,,extrabudgetary,,Youth only,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Value Chain Improvement and Employment Creation Component of the project “Multidimensional resilient recovery of the Ibo and Buzi Districts”,,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Rural Access & Agricultural Marketing Project (RAAMP),,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",EIIP Component: Opportunity Salone Programme – Jobs and Growth programme in Sierra Leone,,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Implementation of the Expanded Public Works Programme Nationally in South Africa through the National Department of Public Works

",,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Implementation of the Expanded Public Works Programmes in the Limpop Province, South Africa through the Limpopo Department of Public Works",,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Support to the formalization of small economic units and workers in the waste management value chain within the Waterberg District.,,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",E-waste for youth employment in Limpopo Province (JSB),,,,Africa,,extrabudgetary,,Youth only,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Sustainable return and reintegration through Employment-Intensive Infrastructure works. ,,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Creating decent work opportunities for Somali IDPs, returnees and host communities (Phase II): Draft Financing Agreement",,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",EIIP component under Prospects - Inclusive jobs and education for refugees and host communities in Sudan (Dutch funds for Ethiopia),,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Community Based Routine Maintenance (CBRM) under the RISE Project,,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Initiative pilote de développement local intégré (last addl app oct2024),,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",EIIP component under Prospects - Inclusive jobs and education for refugees and host communities in Uganda (Dutch funds for Uganda),,,,Africa,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Promoting Employment and Decent Work in Afghanistan through the Humanitarian-
Development-Peace nexus -North Livelihoods & Econ Activity- (MPTF Afghanistan)",,,,Asia and the Pacific,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Promoting employment and decent work in Afghanistan through the humanitarian-development-peace nexus: Essential services,,,,Asia and the Pacific,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Promoting employment and decent work in Afghanistan through the humanitarian-development-peace nexus: Livelihoods and economic activities,,,,Asia and the Pacific,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",EIIP component UNDER PROSPECTS: Inclusive jobs and education for refugees and host communities in Iraq (Dutch funds for Iraq),,,,Arab States,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Project for Enhancing Decent Work Opportunities through Improved Housing Sector Performance and Delivery of Affordable Homes in Iraq,,,,Arab States,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",EIIP component. Towards a More inclusive Economy Through immediate Job Generation and Enterprise Development for Vulnerable Refugee and Host Communities in Jordan,,,,Arab States,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","EIIP Jordan, Phase VI",,,,Arab States,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Towards a more Inclusive Economy through Immediate Job Generation and Enterprise Development for Vulnerable Refugee and Host Communities in Jordan - Phase II,,,,Arab States,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Employment Intensive Infrastructure Programme in Lebanon- Phase V,,,,Arab States,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Improving living conditions and resilience refugees and host communities,,,,Arab States,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Employment Intensive Infrastructure Programme in Lebanon (EIIP) Phase VI LBN/24/02/DEU,,,,Arab States,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Mitigating the devastating effects of the crisis on Palestinian workers, employers and their families ",,,,Arab States,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Emergency employment through rural road rehabilitation for decent jobs and livelihoods recovery (sub-objective 2),,,,Arab States,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Job-rich early recovery support programme (JSB),,,,Arab States,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","ILO EU Support to Rural Entrepreneurship, Investment and Trade in Papua New Guinea",,,,Asia and the Pacific,,extrabudgetary,,Youth are one of the target groups,,2024
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,Youth Entrepreunership Promotion,LKA 107,https://www.ilo.org/projects-and-partnerships/projects/south-asia-leadership-entrepreneurship-sale-%E2%80%93-sri-lanka,"Aimed at building entrepreneurial capacity among youth in Sri Lanka and Nepal, with mentorship, skill-building, and networking. The project resulted in the successful launch of youth-led businesses in diverse sectors.",Asia and the Pacific,New,extrabudgetary,,Youth only,No,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,Youth skills for digital economy,LKA 107,,"This initiative focused on equipping youth with digital skills for emerging industries. The program provided free online training in coding, digital marketing, and data analytics, and it led to improved youth employability in digital and tech-driven sectors. Over 500 youth completed the program, with 70% of them securing jobs or internships in tech companies.",Asia and the Pacific,New,extrabudgetary,,Youth are one of the target groups,No,2024
USR-202506-0025,Region: Asia and the Pacific,Safe migration and skills for youth,LKA 154,https://www.ft.lk/news/IOM-ILO-and-Japan-join-hands-to-promote-safe-and-regular-migration/56-759743?utm_source=chatgpt.com,"Supported migrant returnees and youth by enhancing their livelihoods through skills development, safe migration pathways, and reintegration support. The project successfully facilitated skills training and provided formal recognition of competencies, resulting in improved employment opportunities for youth migrants.",Asia and the Pacific,Long-standing,extrabudgetary,,Youth are one of the target groups,No,2024
USR-202506-0025,Region: Asia and the Pacific,Entrepreneurship promotion including youth,,https://www.ilo.org/projects-and-partnerships/projects/promoting-advancement-vulnerable-persons-and-enterprises-pave-project,Strengthened capacity of Small Enterprise Development Division (SED) and Department of Industries (DOI) through TOTs on two contextualized entrepreneurship modules "How to Create a Business" and "How to Dgitalize a Business".,Asia and the Pacific,New,extrabudgetary,,Youth are one of the target groups,No,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2024
