UserId,Department/Region,Output/initiative/programme/project's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,"Geographical focus (Global, Regional  or National/local)",Specify name of the Region/country,"Type of partnership
(Options: UN interagency initiative; or multistakeholder initiative; or bilateral partnership; or event; or campaign; or challenge)",New or long-standing,Funding source (Options: regular budget or extrabudgetary),"Focus
 (Options: Youth only or Youth is one of the target groups)",year
USR-202506-0002,Statistics,,,,,,,,,,,2024
USR-202506-0003,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0003,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,Support to World Day Against Child Labor events in the Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),PHL 135,https://www.facebook.com/ILOPhilippines/posts/barmm-celebrates-world-day-against-child-labour-2024the-bangsamoro-autonomous-re/861639719328328/,WDACL celebrations conducted in pilot sites and regional level; These events featured SCREAM inspired performances to increase awareness on CL.,National/Local,Asia and the Pacific,event,Long-standing,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0005,Region: Arab States,,,,,,,,,,,2024
USR-202506-0006,Region: Arab States,Integrating Career Guidance and Employment Services within Community Development Centers (CDCs) in Akkar and North Lebanon,LBN103,,This program aimed to enhance employability and facilitate the transition of young Lebanese and Syrians into sustainable employment and income-generating opportunities,National/Local,Arab States,bilateral partnership,New,extrabudgetary,Youth only,2024
USR-202506-0006,Region: Arab States,Implementing JSCs in Jordan,JOR110,,,National/Local,Arab States,bilateral partnership,New,extrabudgetary,Youth only,2024
USR-202506-0006,Region: Arab States,Promoting Work-based Learning programmes for the host communities and Syrian refugees in Jordan,JOR110,,"Implementing a pilot initiative of WBL programmes to facilitate transition young host community members and refugees to decent employment; and build the institutional capacities of the training providers along with the National Sector Skills?? Councils (NSSC), chambers, and partner enterprises on designing and implementing quality work-based learning programmes.",National/Local,Arab States,bilateral partnership,New,extrabudgetary,Youth only,2024
USR-202506-0006,Region: Arab States,"Inclusive jobs and education for IDPs, refugees and host communities",IRQ126,,"To conduct training sessions on Financial Education (FE), Start Your Business (SYB), Improve Your Business (IYB), and Generate Your Business Idea (GYB). ",National/Local,Arab States,bilateral partnership,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0006,Region: Arab States,Adaption of the ILO Youth Rights at Work Guide and Toolkit for Iraq,IRQ181,,"To adapt the ILO's Youth Rights at Work Guide and raise young people??s awareness, building their skills on rights to/at work",National/Local,Arab States,bilateral partnership,New,extrabudgetary,Youth only,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,,2024
USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee,SBU104,,,Regional,Europe and Central Asia,multistakeholder initiative,,extrabudgetary,Youth only,2024
USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee,MKD130,,,National/local,Europe and Central Asia,multistakeholder initiative,,extrabudgetary,Youth only,2024
USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee,ALB132,,,National/local,Europe and Central Asia,multistakeholder initiative,,extrabudgetary,Youth only,2024
USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee,MNE129,,,National/local,Europe and Central Asia,multistakeholder initiative,,extrabudgetary,Youth only,2024
USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee,SRB130,,,National/local,Europe and Central Asia,multistakeholder initiative,,extrabudgetary,Youth only,2024
USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee,BiH128,,,National/local,Europe and Central Asia,multistakeholder initiative,,extrabudgetary,Youth only,2024
USR-202506-0009,Region: Africa,Traipartite workshop on Developing Effective and Efficient Labour Market Policies and Programmes to support Transitions,SHA101,,"The workshop was held for tripartite delagations from 8 countries as follows: Lesotho, Kenya, Botswana, Namibia, Ghana, Nigeria, S. Africa, Zambia and Zimbabwe",Regional,Africa,event,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0009,Region: Africa,,,,,,,,,,,2024
USR-202506-0009,Region: Africa,,,,,,,,,,,2024
USR-202506-0011,Research and Publications,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2024
USR-202506-0013,Region: Europe and Central Asia,,,,,,,,,,,2024
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,This Way to Social Justice Campaign,Enabling Outcome A,https://trello.com/c/i2DmomJB/153-theme-14-youth-employment,Campaign video focussed on Youth Employment,Global,Global,campaign,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,This Way to Social Justice Campaign,Enabling Outcome A,https://trello.com/c/0TpqNhzB/69-data-video-english-french-spanish,Campaign video focussed on education and NEETS,Global,Global,campaign,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,Global Citizen Festival,,https://vimeo.com/1023227825/f71215d53b?ts=0&share=copy ,DG stage moment and campaign video at the Global Citizen Festival in New York,Global,Global,event,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,This Way to Social Justice Campaign,Enabling Outcome A,https://trello.com/b/AZxgFg2L/this-way-to-social-justice,Awareness raising campaign on inequalities and how to tackle them,Global,Global,campaign,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,C190 campaign,,https://trello.com/b/ItwD8q9o/ratifyc190-campaign,Campaign on C190 aimed at public audience including youth,Global,Global,campaign,Long-standing,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,Youth employment issue series on Instagram,,"https://www.instagram.com/reel/C-nbDA_My9B/
https://www.instagram.com/reel/C-sdhRPtoPu/
https://www.instagram.com/reel/C-xnBQoCL69/
https://www.instagram.com/reel/C-5caYlpzRM/
https://www.instagram.com/reel/C--fFw7sn0-/
https://www.instagram.com/reel/C_DonC_gBYE/
https://www.instagram.com/reel/C_LeCcMshDn/
https://www.instagram.com/reel/C_QZ-p3I5Y3/
https://www.instagram.com/reel/C_VqIx5AR2Y/",Nine video series on youth employment on Instagram,Global,Global,campaign,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,Youth Employment Barometer,,https://www.linkedin.com/feed/update/urn:li:activity:7263189210776403968,Promotion of the barometer on social media channels,Global,Global,campaign,New,Regular Budget,Youth only,2024
USR-202506-0015,Communication and Public Information,Summit of the Future section on Youth,,https://www.linkedin.com/feed/update/urn:li:activity:7263189210776403968 ,Promotion of ILO participation in the Summit of the Future youth segment and decent work for refugees events.,Global,Global,UN interagency initiative,,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,2024
USR-202506-0017,Sectoral Policies,Co-chair (2023-2024) of the Technical Working Group on Rural Youth Employment of the Global Donor Platform for Rural Development ,GLO433,https://www.donorplatform.org/thematic-areas/rural-youth-employment/,"Building on previous work and initiatives, the G20 Summit in 2017 saw the launch of the Rural Youth Employment initiative, after a historic vote by governments and heads of states signaled a clear political commitment of the international community to support empowerment of youth in rural areas. The Global Donor Platform responded to this call for action by establishing the Thematic Working Group on Rural Youth Employment in 2018 and is actively engaging with its members in current policy processes like the UN Food Systems Summit which highlighted the crucial role of youth in shaping sustainable food systems of the future.",Global,Global,multistakeholder initiative,Long-standing,Regular Budget,Youth only,2024
USR-202506-0017,Sectoral Policies,,,,,,,,,,,2024
USR-202506-0017,Sectoral Policies,,,,,,,,,,,2024
USR-202506-0018,Universal Social Protection,,,,,,,,,,,2024
USR-202506-0018,Universal Social Protection,,,,,,,,,,,2024
USR-202506-0018,Universal Social Protection,,,,,,,,,,,2024
USR-202506-0019,Region: Arab States,"Regional High-Level Meeting on Young People's Learning, Skilling and Transition to Decent Work",GLO435,https://www.ilo.org/meetings-and-events/second-regional-high-level-meeting-2024-young-peoples-learning-skilling-and,"The meeting, co-organized by the ILO, UNDP, UNICEF, UNESCO and UNFPA, aimed at addressing bottlenecks affecting young people??s transition from learning to earning, with a specific focus on digital and green skills/jobs ?C and particular attention to the challenges facing girls and young women. The meeting enabled an exchange of promising practices, and focused on enabling young people to contribute to solutions and accelerating public-private sector collaboration, with particular emphasis on the equal access and full inclusion of girls and women. --- ILO, UNDP, UNICEF and UNESCO convened the second regional high-level meeting on young people??s learning, skilling, and transition to decent work to address bottlenecks affecting young people??s transition into employment  with a specific focus on digital and green skills/jobs ?C and particular attention to the challenges facing girls and young women. ",Regional,Arab States,event,Long-standing,Regular Budget,Youth only,2024
USR-202506-0020,Region: Asia and the Pacific,"""Provincial career fairs in Kampong Cham, Battambang and Banteay Meanchey

Projects:
- ILO ProSSCE-ASEAN 
- DEYII 
- Cambodia Team for Education Program Organization
-National Employment Agency 
-People's Action for Inclusive Development (PAFID)""",KHM201,"
- https://www.khmertimeskh.com/501448520/ilo-connects-over-3500-cambodian-youth-with-job-opportunities/

- https://www.ilo.org/resource/news/ilo-helps-over-3600-young-cambodians-find-decent-job-opportunities

- https://www.youtube.com/watch?v=VhoUyOQ2Gochttps://www.youtube.com/watch?v=VhoUyOQ2Goc","Showcasing over 1,700 job opportunities, the provincial career fairs in Kampong Cham, Battambang, and Banteay Meanchey increased access to decent employment opportunities for youth, including young people with disabilities to ensure that no one is left behind.",National/Local,Asia and the Pacific,multistakeholder initiative,Long-standing,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0020,Region: Asia and the Pacific,National Career and Productivity Fair 2024,KHM201,Links of advocacy mentions and coverage,"The National Career and Productivity Fair 2024, a longstanding joint initiative between the National Employment Agency, the ILO and partners, returned for the fourteenth year to connect jobseekers in Cambodia, including youth and persons with disabilities, with employment opportunities and address the country's skills mismatch.  ",National/Local,Asia and the Pacific,multistakeholder initiative,Long-standing,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,ILO Project: Cooperative Support Programme for Palestine (CSP-OPT),CPO PSE104 / GLO/22/56/ITA,,"A 3-year project funded by AICS aimed at strengthening the Palestinian cooperative ecosystem through policy advocacy, capacity building, youth entrepreneurship, women empowerment, and institutional partnerships at meta, macro, meso, and micro levels.",National/Local,Arab States,multistakeholder initiative,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",Intergenerational dialogues on youth employment,GLO435,https://tascplatform.org/whats-new/biffvw860gsonqa2rg51pf1q0qk1ln,"The ""Decent Work, Brighter Futures"" Talk Series was a 4-part global discussion hosted by?YouthForesight, in collaboration with the ILO and the TASC Platform of the Graduate Institute, to explore youth employment trends, challenges, and aspirations. This intergenerational series brought together Gen Z and Gen X voices to reflect on the evolution of youth employment challenges, while examining commonalities and differences in their experiences.",Global,Global,bilateral partnership,New,Regular Budget,Youth only,2024
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,"South Asia Leadership in Entrepreneurship (SALE), Sri Lanka components",LKA 107,https://readme.lk/schoolpreneur-2023-fostering-entrepreneurship-in-sri-lanka-schools/,"ILO collaborated with the Ministry of Education during the SALE project to  integrate entrepreneurship education into schools across Sri Lanka, promoting an entrepreneurial mindset among youth and facilitating E-Clubs in schools. The partnership raised national awareness about the role of youth in economic development.",National/Local,Asia and the Pacific,campaign,New,extrabudgetary,Youth only,2024
USR-202506-0025,Region: Asia and the Pacific,"South Asia Leadership in Entrepreneurship (SALE), Sri Lanka components",LKA 107,https://readme.lk/schoolpreneur-2023-fostering-entrepreneurship-in-sri-lanka-schools/,The ILO partnered with CBSL to advocate for policy reforms that promote youth entrepreneurship and economic growth. Their collaboration included organizing policy dialogues that helped shape national strategies to better support youth-led businesses in Sri Lanka.,National/Local,Asia and the Pacific,multistakeholder initiative,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0028,Region: Asia and the Pacific,Skills Innovation Challenge Call in India,IND 102,https://www.ilo.org/projects-and-partnerships/projects/skills-innovation-challenge-call-india-upgrading-informal-apprenticeships,"The ILO in partnership with UNICEF/YuWaah launched Skills Innovation Challenge Call in India in 2023, to identify, incubate, test, and disseminate innovative solutions in India that support the ??upgrading of informal apprenticeships through digital transformation??. As a result, a total of four not-for-profit organization in India were selected as winner and received a grant and technical support to pilot their solutions in 2024 on the ground.",National/Local,Asia and the Pacific,UN interagency initiative,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,Strengthening of Employment Service Centers in Nepal (SESC) Project,NPL 126,,"Policy dialogues to strengthen PES, ultimately contributing to youth employment",National/Local,Asia and the Pacific,event,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,Ongoing technical support to SPC and Pacific countries to develop PYDF (Pacific Youth Development Framework),,https://www.spc.int/updates/news/media-release/2024/09/first-pacific-ministers-of-youth-meeting-in-more-than-a-decade,The Pacific Youth Development Framework will be prepared by SPC. ILO offered technical support through engagement in various working groups that will inform the PYDF.,Regional,Asia and the Pacific,multistakeholder initiative,New,Regular Budget,Youth only,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,,,,2024
USR-202506-0032,Region: Asia and the Pacific,National Youth Development Strategy,VNM128,,ILO joined and contributed inputs to the national youth development strategy concerning youth employment and protection of youth rights,National/Local,Asia and the Pacific,UN interagency initiative,New,Regular Budget,Youth only,2024
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",ECOSOC Youth Forum 2024,GLO435,,"1) ILO led the organisation of the ECOSOC Youth Forum SDG 17 Session on Partnerships with a thematic focus on Future of Work for Youth, in collaboration with ITC, IOM and WIPO.
2) ILO, UNICEF, UNHCR and Members of the Compact for Young People in Humanitarian Action organised a side-event on Promoting  Refugee Youth Leadership and Self Reliance. ",Global,Global,event,Long-standing,extrabudgetary,Youth only,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
