UserId,Department/Region,Emplovment and economic policies for youthSkills and Employability,"Employability  Education, training and skills, and the school-to-work transition",Labour market policies,Youth entrepreneurship and self-employment,Rights for young people,Other,Other (elaborated answ),year
USR-202506-0013,Region: Europe and Central Asia,,,,,,,,2024
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES,YES,,,,2024
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,2024
USR-202506-0015,Communication and Public Information,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",YES,,,YES,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,2024
USR-202506-0017,Sectoral Policies,,,,,,,,2024
USR-202506-0017,Sectoral Policies,,,,,,,,2024
USR-202506-0017,Sectoral Policies,,,,,,,,2024
USR-202506-0018,Universal Social Protection,,,,,YES,,,2024
USR-202506-0018,Universal Social Protection,,,,,,,,2024
USR-202506-0018,Universal Social Protection,,,,,,,,2024
USR-202506-0019,Region: Arab States,YES,YES,YES,YES,YES,,,2024
USR-202506-0020,Region: Asia and the Pacific,YES,YES,YES,YES,YES,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0022,Region: Arab States,,YES,,YES,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,2024
USR-202506-0022,Region: Arab States,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",YES,YES,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES,YES,YES,,,2024
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,YES,YES,YES,YES,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0026,Region: Asia and the Pacific,YES,YES,,YES,YES,,,2024
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,YES,YES,YES,YES,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0028,Region: Asia and the Pacific,YES,YES,YES,YES,YES,,,2024
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,YES,YES,YES,YES,YES,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,YES,YES,YES,YES,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,YES,YES,YES,YES,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0032,Region: Asia and the Pacific,YES,YES,,,YES,,,2024
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",YES,,YES,,,,,2024
USR-202506-0033,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,YES,,YES,YES,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0034,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0035,Region: Asia and the Pacific,,YES,,,,,,2024
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0035,Region: Asia and the Pacific,,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES,YES,YES,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0036,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES,YES,YES,,,2024
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,YES,YES,YES,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,2024
USR-202506-0038,Region: Latin America and the Caribbean,,,,,,,,2024
USR-202506-0039,International Labour Standards,,,,,YES,,,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES,YES,YES,,,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0040,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0041,Conditions of Work and Equality,YES,YES,YES,,YES,YES,data,2024
USR-202506-0041,Conditions of Work and Equality,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,,YES,,YES,,,,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,2024
USR-202506-0043,Region: Latin America and the Caribbean,YES,YES,YES,YES,,,,2024
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,2024
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,2024
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2024
USR-202506-0001,Region: Asia and the Pacific,YES,YES,YES,YES,,,,2025
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0002,Statistics,,,,,,YES,Statistics on youth employment,2025
USR-202506-0003,Region: Asia and the Pacific,,YES,,YES,YES,,,2025
USR-202506-0003,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0004,Region: Asia and the Pacific,YES,YES,YES,YES,YES,,,2025
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0005,Region: Arab States,YES,YES,,YES,,,,2025
USR-202506-0006,Region: Arab States,,YES,YES,YES,YES,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,2025
USR-202506-0007,Region: Arab States,YES,YES,YES,YES,YES,,,2025
USR-202506-0007,Region: Arab States,,,,,,,,2025
USR-202506-0007,Region: Arab States,,,,,,,,2025
USR-202506-0007,Region: Arab States,,,,,,,,2025
USR-202506-0007,Region: Arab States,,,,,,,,2025
USR-202506-0007,Region: Arab States,,,,,,,,2025
USR-202506-0007,Region: Arab States,YES,YES,YES,YES,,,,2025
USR-202506-0007,Region: Arab States,,,,,,,,2025
USR-202506-0007,Region: Arab States,,,,,,,,2025
USR-202506-0008,Region: Europe and Central Asia,,,,,,YES,Reporting on Trends,2025
USR-202506-0008,Region: Europe and Central Asia,,YES,YES,YES,YES,,,2025
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,2025
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,2025
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,2025
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,2025
USR-202506-0009,Region: Africa,,,,,,,,2025
USR-202506-0009,Region: Africa,,,,,,,,2025
USR-202506-0009,Region: Africa,,,,,,,,2025
USR-202506-0011,Research and Publications,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,YES,Statistics on youth employment,2025
USR-202506-0012,International Training Centre of the ILO,YES,YES,YES,YES,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,2025
USR-202506-0013,Region: Europe and Central Asia,,,,,,,,2025
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,2025
USR-202506-0015,Communication and Public Information,YES,,,YES,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,YES,Reporting on Trends,2025
USR-202506-0015,Communication and Public Information,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,YES,,,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",YES,YES,YES,YES,YES,,,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",YES,YES,YES,YES,YES,,,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,2025
USR-202506-0017,Sectoral Policies,,,,,,,,2025
USR-202506-0017,Sectoral Policies,,,,,,,,2025
USR-202506-0017,Sectoral Policies,,,,,,,,2025
USR-202506-0018,Universal Social Protection,,,,,,,,2025
USR-202506-0018,Universal Social Protection,,,,,,,,2025
USR-202506-0018,Universal Social Protection,,YES,,YES,,,,2025
USR-202506-0019,Region: Arab States,,,,,,,,2025
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0022,Region: Arab States,YES,YES,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,YES,Statistics on youth employment,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,YES,Reporting on Trends,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES,YES,YES,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",YES,YES,YES,YES,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,YES,Statistics on youth employment,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",YES,YES,,YES,YES,,,2025
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,YES,YES,YES,YES,,,,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0027,Region: Asia and the Pacific,YES,YES,YES,YES,YES,,,2025
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0027,Region: Asia and the Pacific,YES,YES,YES,YES,YES,,,2025
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0028,Region: Asia and the Pacific,,,,,,YES,Reporting on Trends,2025
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0029,Region: Asia and the Pacific,YES,YES,YES,YES,,,,2025
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0029,Region: Asia and the Pacific,YES,YES,YES,YES,,YES,Statistics on youth employment,2025
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0030,Region: Asia and the Pacific,,,,,,,,2025
USR-202506-0031,Region: Asia and the Pacific,,,,,,,,2025
