UserId,Department/Region,Course/programme/project's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,In person or online or both,With certification (Yes or No),New or long-standing,Funding source (Options: regular budget or extrabudgetary),Focus (Options: Youth only or Youth is one of the target groups),For public use or ILO staff only,year
USR-202506-0042,Governance and Tripartism,ACCEL Africa II,CIV901,https://www.ilo.org/resource/other/promoting-vocational-skills-development-malawis-informal-tea-sector,Capacity building of stakeholders involved in Youth Employment and Child Labour on the ILO Training for Rural Economic Empowerment (TREE) and establishment of the TREE Committee,in-person,No,Long-standing,extrabudgetary,Youth are one of the target groups,Public use,2024
USR-202506-0042,Governance and Tripartism,,,,,,,,,,,2024
USR-202506-0042,Governance and Tripartism,Technical Support for Enhancing the National Capacity to Prevent and Reduce Child Labour in Viet Nam (ENHANCE),"Output 3.5,VNM",https://www.ilo.org/projects-and-partnerships/projects/technical-support-enhancing-national-capacity-prevent-and-reduce-child,Providing training and capacity building on the prevention of child labour and the management of young workers in the fisheries sector of Viet Nam,in-person,yes,,extrabudgetary,Youth are one of the target groups,,2024
USR-202506-0042,Governance and Tripartism,Technical Support for Enhancing the National Capacity to Prevent and Reduce Child Labour in Viet Nam (ENHANCE),,https://www.ilo.org/projects-and-partnerships/projects/technical-support-enhancing-national-capacity-prevent-and-reduce-child,"Supporting vocational skills training for children aged 14 to 17, and facilitating their access to vocational training services in Viet Nam",in-person,yes,,extrabudgetary,Youth are one of the target groups,,2024
USR-202506-0042,Governance and Tripartism,Technical Support for Enhancing the National Capacity to Prevent and Reduce Child Labour in Viet Nam (ENHANCE),,https://www.ilo.org/projects-and-partnerships/projects/technical-support-enhancing-national-capacity-prevent-and-reduce-child,Enhancing the quality of vocational education by improving vocational counselling skills at vocational education institutions in Viet Nam.,in-person,yes,,extrabudgetary,Youth are one of the target groups,,2024
USR-202506-0042,Governance and Tripartism,Technical Support for Enhancing the National Capacity to Prevent and Reduce Child Labour in Viet Nam (ENHANCE),,,"Collaborating with the Directorate of Vocational Education and Training (DVET) of Viet Namto develop two sets of documents:
(i) a Career Guidance Manual, and
(ii) a Handbook for Developing Vocational Training Programs aligned with market demand.",in-person,yes,,extrabudgetary,Youth are one of the target groups,,2024
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0043,Region: Latin America and the Caribbean,,,,,,,,,,,2024
USR-202506-0037,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0001,Region: Asia and the Pacific,2024 Youth Digital Leaders Campus ,CHN252,https://www.ilo.org/resource/news/global-youth-leaders-converge-2024-youth-digital-leaders-campus-guangzhou,"From 16 to 20 July 2024, the Youth Digital Leaders Campus was successfully held as one of key activities of the Youth Digital Leadership Programme jointly launched by the ILO and All-China Youth Federation (ACYF). The Campus brought together youth digital leaders from 19 countries and experts in entrepreneurship and digital skills to inspire youth around the globe to leverage digital innovations for global development, aligning with the 2030 Agenda for Sustainable Development.",in-person,Yes,New,Regular Budget,Youth only,Public use,2025
USR-202506-0001,Region: Asia and the Pacific,Training on digital skills and on-line enterpreneurship for people living with HIV with cross sectional challenges in low GDP areas in China,CHN252,"https://www.ilo.org/resource/news/digital-skills-transformed-my-business
https://www.ilo.org/resource/news/inspiring-journey-tintin-women-living-hiv
https://www.ilo.org/resource/news/boosting-digital-competency-and-online-entrepreneurship-marginalized-plhiv","the ILO working jointly with the Women's Network against AIDS China carried out digital skill and on-line enterpreneuship training. 70 low income individuals living with HIV/AIDS in Sichuan Province empowered with cutting-edge knowledge and digital skills tailored to the modern era.
As a result, some participants have launched their own online businesses, while others have secured employment opportunities with local companies.",both/hybrid,No,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0002,Statistics,,,,,,,,,,,2025
USR-202506-0003,Region: Asia and the Pacific,Myanmar Programme on the Elimination of Child Labour (livelihood and skills training for the youth),MMR101,https://www.ilo.org/projects-and-partnerships/projects/myanmar-programme-elimination-child-labour-my-pec/the-project,"The livelihoods, skills and entrepreneurship trainings were implemented through NGO partners in selected areas in Yangon, Ayeyarwady regions and Mon State. These sectors include agriculture and fisheries, mechanical skills, dress-making and entrepreneurship",in-person,No,Long-standing,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0003,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0004,Region: Asia and the Pacific,SCREAM Training for Youth and Educators under the ARISE Project,PHlL135,,"The Project produced 12 SCREAM trainers, trained 94 basic education and ALS teachers,and 61 student-teachers",in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0004,Region: Asia and the Pacific,Capacity-building for Public Employment Services (PES) and career guidance advocates on the ILO Job Readiness Trainers Guide and Workbooks,PHL 101,02 ILO Post-webinar Report v3.0.pdf,"With support from the Women in STEM project, the ILO provided capacity Building of 113 PESOs and Career Guidance advocates on job preparation for workforce readiness using ILO Job Readiness Trainers Guide and Workbooks, and ILO-TESDA Job Readiness Online Course.",both/hybrid,Yes,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0004,Region: Asia and the Pacific,Training on WISE and SCORE,PHL 104,,"With ILO support, 271 Work Improvement in Small Enterprises (WISE) Trainers and 29 Sustaining Competitive and Responsible Enterprises (SCORE) Trainers were trained.   With WISE now integrated in BOSH-SO 1 and in DOLE Technical Advisory Visits (TAV), training outreach for WISE was expected to be as much 144,500 MSMEs. ",both/hybrid,Yes,Long-standing,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0004,Region: Asia and the Pacific,Training on SIYB,PHL 104,,"With ILO support, 3,197 entrepreneurs trained by 318 SIYB trainers and 110 enterprises trained by 46 Financial Education trainers. The SIYB trainers were expected to reach additional 882 enterprises in 2024. ",both/hybrid,Yes,Long-standing,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0004,Region: Asia and the Pacific,Conduct of Just Transition & Climate Action Capacity building workshops ,PHL 802,,"Conduct of Just Transition & Climate Action Capacity building workshops participated by (77) young workers & TU leaders in Cebu, Davao & Tacloban (Vis-Min  chapter of Associated Labor Unions), specifically belonging to the energy, transport, and allied sectors (maritime ports & logistics).

Training Workshop Design,  templates and info materials & a training team (composed of young TU leaders) who can  run the program for ALU.

(Loose) network of young workers who are engaged and can be mobilized for local JT initiatives.",in-person,No,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0005,Region: Arab States,,,,,,,,,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,,,,2025
USR-202506-0006,Region: Arab States,,,,,,,,,,,2025
USR-202506-0007,Region: Arab States,Youth Guarantee,SBU104,,capacity building of institutions involved in implementation of the YG,both/hybrid,No,,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0007,Region: Arab States,Youth Guarantee,MKD130,,capacity building of institutions involved in implementation of the YG,both/hybrid,No,,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0007,Region: Arab States,Youth Guarantee,ALB132,,capacity building of institutions involved in implementation of the YG,both/hybrid,No,,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0007,Region: Arab States,Youth Guarantee,MNE129,,capacity building of institutions involved in implementation of the YG,both/hybrid,No,,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0007,Region: Arab States,Youth Guarantee,SRB130,,capacity building of institutions involved in implementation of the YG,both/hybrid,No,,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0007,Region: Arab States,Youth Guarantee,BiH128,,capacity building of institutions involved in implementation of the YG,both/hybrid,No,,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0007,Region: Arab States,Capacity building on NEP implementation and effective coordination mechanisms ,MOZ101,,Training course was organzied in association with ITCILO and covered seevral topics on employment policy cycle ,in-person,Yes,Long-standing,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0007,Region: Arab States,Tripartite workshop workshop on National Employment Policy Cycle in Zimbabwe,ZWE102,,The training course was held to the tripartite technical drafting committee for the National Employment Policy development,in-person,No,Long-standing,Regular Budget,Youth are one of the target groups,Public use,2025
USR-202506-0007,Region: Arab States,,,,,,,,,,,2025
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,,2025
USR-202506-0008,Region: Europe and Central Asia,Global Youth Forum 2024,,,,online,Yes,,extrabudgetary,Youth only,,2025
USR-202506-0008,Region: Europe and Central Asia,Skills Fair on Quality Apprenticeships,,,,both/hybrid,Yes,,extrabudgetary,Youth are one of the target groups,,2025
USR-202506-0008,Region: Europe and Central Asia,Boosting Decent Jobs and Enhancing Skills for the Youth in Rwanda's Digital Economy - ILO,,,,both/hybrid,Yes,,extrabudgetary,Youth only,,2025
USR-202506-0008,Region: Europe and Central Asia,Community hackathon: Youth innovating against child labour - ILO,,,,both/hybrid,Yes,,extrabudgetary,Youth only,,2025
USR-202506-0008,Region: Europe and Central Asia,The role of youth in the blue economy in Small Island Development States in the Pacific,,,,online,Yes,,extrabudgetary,Youth only,,2025
USR-202506-0009,Region: Africa,Decent Jobs for Rural Youth,,https://www.itcilo.org/courses/decent-jobs-rural-youth,ITCILO Training course on decent jobs for rual youth organized in collaboration with EPAP (ITC) and SECTOR and EMPLAB/YOUTH in ILO-HQ.,online,Yes,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0009,Region: Africa,Young NEETs in the Southern Mediterranean region / Jeunes NEETs dans la r¨¦gion du sud de la M¨¦diterran¨¦e,,,,in-person,Yes,,extrabudgetary,Youth only,,2025
USR-202506-0009,Region: Africa,The role of youth in the blue economy in the South West Indian Ocean,,,,online,Yes,,extrabudgetary,Youth only,,2025
USR-202506-0011,Research and Publications,O papel dos jovens na economia azul,,,,online,Yes,,extrabudgetary,Youth only,,2025
USR-202506-0012,International Training Centre of the ILO,Union Foresight and Youth - Young Social Dialogue Champions Academy,,,,both/hybrid,Yes,,extrabudgetary,Youth only,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2025
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,2025
USR-202506-0013,Region: Europe and Central Asia,,,,,,,,,,,2025
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,SIYB,GLO443,www.ilo.org/siyb ,Support to initiatives globally to strengthen capacity of constituents and partner organizations to use the ILO's Start and Improve your Business (SIYB) programme to promote youth entrepreneurship ,both/hybrid,Yes,Long-standing,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,,,,,,,,,,,2025
USR-202506-0015,Communication and Public Information,Module on rural youth as part of the ILO-ITC MOOC on Decent Work in rural areas,GLO433,https://www.ilo.org/resource/training-material/line-course-future-work-rural-economy,"This course provides an opportunity for participants to learn about a range of innovative approaches, tools and methods for promoting decent work in the rural economy. Upon completion of this self-paced learning path, a certification shall be released to participants. The module on rural youth is part of the set of modules, and delves into the promotion of more and better jobs for youth in agri-food sector and other rural economic sectors, while enhancing their rights and participation in social dialogue.",online,Yes,Long-standing,Regular Budget,Youth are one of the target groups,Public use,2025
USR-202506-0015,Communication and Public Information,Rural Developmen Academy,GLO433,https://www.itcilo.org/courses/ilo-academy-rural-development,"The 2025 Rural Development Academy comes at a crucial time as rural economies worldwide strive to create opportunities for decent work and promote social inclusion in an era of environmental change. Rural areas increasingly face challenges like climate impacts, biodiversity loss and shifting agricultural demands. This Academy will provide a platform to explore how a just transition can foster inclusive and resilient rural economies. A just transition towards environmentally sustainable economies and societies for all must be rooted in social justice and responsive to intergenerational needs, including the aspirations of young women and men in rural areas, leaving no one behind.",both/hybrid,Yes,Long-standing,Regular Budget,Youth are one of the target groups,Public use,2025
USR-202506-0015,Communication and Public Information,ILO-ITC Decent Jobs for Youth Training,GLO433 and GLO435,https://www.itcilo.org/courses/decent-jobs-rural-youth,"This course aims to addressed issues related to promoting decent jobs for youth in rural areas, by providing an in-depth understanding of the context of rural employment in developing countries, outlining the particular challenges faced by rural youth, and young women in particular. It explored the various policy elements and intervention approaches that are needed to support rural youths.The course is of particular interest to policy-makers, planners, technical officials of relevant ministries, and other technical experts from relevant institutions. In particular, the course caters for policy advisors and practitioners from ministries of labour and employment, agriculture and rural development, economy and planning, other sectoral ministries, social partners, researchers and policy analysts from international, regional and national organizations, academia and donor organizations, particularly those who are active in the area of rural development. A gender-balanced participation is sought",online,Yes,New,Regular Budget,Youth only,Public use,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",Regional Seminar under the Youth NEET programme,3.1 and 2.4,https://www.ilo.org/resource/news/ilo-organizes-regional-seminar-tunis-empower-policymakers-tackling-youth,"The seminar provided a thorough understanding of the challenges faced by NEET youth and equipped representatives from ministries, employment services, and social partners with tools and policies to improve employment and education access. Developed by the ITC ILO, the training covered key aspects of NEET engagement, including causes, intervention strategies, outreach methods, and support services. It highlighted successful international practices, such as the European Youth Guarantee, and introduced tools like profiling, mentoring, and employment incentives. The in-person seminar in Tunis also enabled participants to develop context-specific action plans and identify areas for technical support.",in-person,No,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",Youth Employment Promotion Project,MNG155,https://www.ilo.org/meetings-and-events/decent-work-youth-network-members-advocating-youth-rights-work,"The Clinical Education Center of the School of Law, National University of Mongolia (NUM)  and Decent Work for Youth Network organized the training using a newly translated Work Wise Youth guide tool that covers everything from young people¡¯s rights at work, including wages, occupational safety and health, prevention of violence and harassment in the world of work, and access to social security. The training was conducted in UB and 5 provinces, where 275 youths participated.",in-person,yes,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,,2025
USR-202506-0017,Sectoral Policies,,,,,,,,,,,2025
USR-202506-0017,Sectoral Policies,,,,,,,,,,,2025
USR-202506-0017,Sectoral Policies,,,,,,,,,,,2025
USR-202506-0018,Universal Social Protection,,,,,,,,,,,2025
USR-202506-0018,Universal Social Protection,,,,,,,,,,,2025
USR-202506-0018,Universal Social Protection,Capacity Building of the Cooperative Work Agency (CWA),,,"Includes development of audit manual, strategic planning, and training for CWA staff to improve service delivery and cooperative governance.",in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0019,Region: Arab States,Cooperative Business Plan Competition with Al-Quds University,,,"Competition targeting youth-led cooperative business ideas, includes training, mentorship, and funding.",online,No,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0020,Region: Asia and the Pacific,Integration of Think.COOP and Start.COOP in Al-Quds University Incubation Programmes,,,Capacity-building for young entrepreneurs in cooperative development.,online,Yes,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0020,Region: Asia and the Pacific,Establishment of Childcare Cooperative with PGFTU,,,Training women to operate childcare cooperatives; focuses on gender empowerment and service provision.,in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0020,Region: Asia and the Pacific,Training on Marketing and Food Packaging (WFP Partnership),,,Enhancing cooperative product quality and access to WFP markets through training and technical support.,online,No,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0020,Region: Asia and the Pacific,Study Tour to Italy (May 2025),,,Exposure visit for 9 Palestinian stakeholders to learn from Italian cooperative models and institutions.,in-person,No,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,,,,2025
USR-202506-0022,Region: Arab States,,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","South Asia Leadership in Entrepreneurship (SALE), Sri Lanka components",LKA 107,https://island.lk/ilo-ceylon-chamber-and-ministry-of-education-come-together-to-foster-entrepreneurial-mindset-among-youth/,"ILO collaborated with the Ministry of Education to integrate entrepreneurship education into the national curriculum. They established E-Clubs in schools and organized events such as School Entrepreneurship Days, fostering an entrepreneurial mindset and providing resources for youth to develop business ideas.",in-person,No,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","South Asia Leadership in Entrepreneurship (SALE), Sri Lanka components",LKA 107,https://www.chamber.lk/ceylon-chamber-launches-spark-2024-youth-entrepreneurship-competition/,"The Ceylon Chamber of Commerce capacity building focused entrepreneurship training and mentorship for youth. They organized competitions (e.g., SPARK competition) and School Entrepreneurship Days, helping young people understand business principles and gain practical experience in launching ventures.",in-person,No,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","South Asia Leadership in Entrepreneurship (SALE), Sri Lanka components",LKA 107,https://www.ilo.org/sites/default/files/2025-01/Project%20Brief-Youth%20Entrepreneurship-SALE-SriLanka-2024.pdf,"With Central Bank of Sri Lanka, engaged in policy dialogues focused on the role of youth in entrepreneurship and economic growth. Through this partnership, the ILO helped build policy frameworks that support youth entrepreneurship, enhancing the entrepreneurial ecosystem in Sri Lanka.",in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Promoting the Advancement of Vulnerbale Persons and Enterprises (PAVE),,https://www.ilo.org/projects-and-partnerships/projects/promoting-advancement-vulnerable-persons-and-enterprises-pave-project,Strengthened capacity of Small Enterprise Development Division (SED) and Department of Industries (DOI) through TOTs on two contextualized entrepreneurship modules "How to Create a Business" and "How to Dgitalize a Business". Rolled out to youth and others  in Northen Province.,in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",UPLIFT Project ,LKA102 (Output 3.2),https://www.ilo.org/resource/article/sri-lanka%E2%80%99s-next-generation-women-seafarers-are-ready-set-sail,"The initiative is helping vulnerable and marginalized young people, including women, to access decent work opportunities through skills enhancement. It is creating a pathway for inclusion in a sector that has traditionally been dominated by men.",in-person,Yes,New,extrabudgetary,Youth only,Public use,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,"The Gender and Entrepreneurship
Together (GET Ahead) training manual","BGD102 - Improved national capacity to develop sustainable enterprises for inclusive economic growth, decent jobs and just transition.",,"The Gender and Entrepreneurship
Together (GET Ahead) training manual
was reviewed, contextualized, and
translated into Bangla to promote
gender-inclusive business practices. A
ToT on GET Ahead successfully then
equipped 26 individuals to deliver the
training, which subsequently
benefitted 255 entrepreneurs.",in-person,Yes,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0025,Region: Asia and the Pacific,Start and Improve Your Business training,"BGD102 - Improved national capacity to develop sustainable enterprises for inclusive economic growth, decent jobs and just transition.",,"1087 entrepreneurs (existing businesses and individual, including 235 women) trained on SIYB (430), tourism service and etiquettes, branding and promotion of tourism marketplace (50) in Cox¨¢ Bazar. Additionally, the Delivery of Start and Improve Your Business (SIYB) training
to 95 entrepreneurs by 18 ToT trained facilitators, focusing on business startup and growth extended nationally.",in-person,Yes,Long-standing,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0025,Region: Asia and the Pacific,Financial Management and E Commerce Training,"BGD102 - Improved national capacity to develop sustainable enterprises for inclusive economic growth, decent jobs and just transition.",,"Financial management and e-commerce training delivered to around 50 youth entrepreneurs, with a focus on product costing, financial planning, and effective financial management.",in-person,No,Long-standing,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0025,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0026,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0027,Region: Asia and the Pacific,UBRAF (GLO/24/02/UNA),IND 104,,"Under accelerating progress on HIV and AIDS and ending inequalities in the world of work, skills of target group has been enhanced by imparting placement-linked and market-oriented skill training with suitable wage/ self-employment opportunities. This was done in Surat city, where more than 15000 People are living with HIV (PLHIVs) and are taking medicine from Govt. ART Centres. Out of them more than 30% people are coming from age group 20-34 year. The goal of ¡°Skill Development & Livelihood¡± portfolio has been to empower PLHIV youth, Women and Key Population so that they are able to live quality of life.",in-person,Yes,Long-standing,Extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0027,Region: Asia and the Pacific,Capacity building,IDN 127 ,,employment services,in-person,yes,New,Regular Budget,Youth are one of the target groups,,2025
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0027,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0028,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0029,Region: Asia and the Pacific,,,,,,,,,,,2025
USR-202506-0029,Region: Asia and the Pacific,Strengthening of Employment Service Centers in Nepal (SESC) Project,NPL 126,,"Capacity development of relevant government officials and ESC staff to deliver their services for jobseekers, primarily youth ",in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0029,Region: Asia and the Pacific,"From Protocol to Practice: A Bridge to Global Action on Forced Labour 
(The Bridge Project-Phase II)     ",NPL 828,,CBOs representative capacity building on institutional development and advocacy,in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0029,Region: Asia and the Pacific,"From Protocol to Practice: A Bridge to Global Action on Forced Labour 
(The Bridge Project-Phase II)     ",NPL 828,,Organizational capacity of right holder's organization build to make strong organization,in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2025
USR-202506-0029,Region: Asia and the Pacific,"From Protocol to Practice: A Bridge to Global Action on Forced Labour 
(The Bridge Project-Phase II)     ",NPL 828,,"Orientations/training to freed-Haliya, Harawa-Charawa networks and?DHMS members to advocate for resources and improved access to public services",in-person,No,New,extrabudgetary,Youth are one of the target groups,Public use,2025
