UserId,Department/Region,Initiative/output's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,Flagship or periodic (Y/N)?,"Type of publication (Options: Evaluation, or Guidance/tools, or Technical Report, or Working paper, or Data/Database) ",New or Produced regularly,Funding source (Options: regular budget or extrabudgetary),Focus (Options: Youth only or Youth is one of the target groups),year
USR-202506-0003,Region: Asia and the Pacific,"The Assessment of value chains in pilot areas of the Myanmar Programme on the Elimination of Child Labour (My-PEC) in the Ayeyarwady Region, Yangon Region and Mon State",MMR101,https://www.ilo.org/publications/assessment-value-chains-pilot-areas-myanmar-programme-elimination-child,"This study explores ways to create sustainable economic opportunities by identifying value chains that can help people earn a stable income. It looks at market trends, job opportunities, and the challenges people face in finding employment. Based on these findings, the study provides useful recommendations on how to improve livelihoods and develop vocational training programs. The goal is to help individuals and businesses grow, ensuring long-term economic success and better job opportunities for communities.",No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,2024
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,2024
USR-202506-0005,Region: Arab States,,,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,2024
USR-202506-0006,Region: Arab States,,,,,,,,,,2024
USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee,SBU104; MKD130; ALB132; MNE129; SRB130; BiH128,,for beneficiary economies,,Guidance/Tools,,extrabudgetary,Youth only,2024
USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee,SBU104; MKD130; ALB132; MNE129; SRB130; BiH129,,for beneficiary economies,,Technical Report,,extrabudgetary,Youth only,2024
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,2024
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,2024
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,2024
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,2024
USR-202506-0009,Region: Africa,,,,,,,,,,2024
USR-202506-0009,Region: Africa,,,,,,,,,,2024
USR-202506-0009,Region: Africa,,,,,,,,,,2024
USR-202506-0011,Research and Publications,World Employment and Social Outlook: Trends 2024,GLO382,https://www.ilo.org/publications/flagship-reports/world-employment-and-social-outlook-trends-2024,"Annual reporting on labour market trends, including youth",Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,2024
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,2024
USR-202506-0013,Region: Europe and Central Asia,,,,,,,,,,2024
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",SDG 8.b.1 indicator reporting,GLO435,https://unstats.un.org/sdgs/metadata/?Text=&Goal=8&Target=8.b,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",Yes,Data/Database,Produced regularly,extrabudgetary,Youth only,2024
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",Employment Policy Gateway / Youth Employment Strategies Module,GLO435,https://webapps.ilo.org/empolgateway/#youth-employment:1,Provides information on national youth employment strategies globally.,Yes,Data/Database,Produced regularly,extrabudgetary,Youth only,2024
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",Youth at Work Report,GLO435,https://www.ilo.org/publications/youth-work-g20-countries-progress-and-policy-action-2023,"Report prepared jointly by the ILO and the OECD and presented at the G20 Labour and Employment Ministerial Meeting under Brazil's presidency gives an overview of progress made by G20 countries towards achieving the Antalya target, and policy action taken by governments to reduce the share of at-risk youth.

Facebook
X
Linkedin",Yes,Technical Report,Produced regularly,extrabudgetary,Youth only,2024
USR-202506-0015,Communication and Public Information,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://www.ilo.org/resource/news/number-youth-not-employment-education-or-training-neet-cause-concern,Press release (and media briefing) + web pages,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://www.ilo.org/resource/article/global-employment-trends-youth-2024-figures,Data visualizations,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://www.youtube.com/watch?v=rUwKaFzenjQ,Explainer video,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://trello.com/c/VQneFofw/1220-12-august-global-employment-trends-for-youth-report-international-youth-day ,Social media materials,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://www.linkedin.com/posts/international-labour-organization-ilo_the-global-employment-trends-for-youth-2024-activity-7229094858202730497-TvY1?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAC1eKwBK-cBM0CRws6QHU5ofw8GbP1MR-s ,Social media posts (as an example),Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,Launch of Global Employment Trends for Youth,Enabling Outcome A,https://voices.ilo.org/podcast/youth-employment-why-are-anxieties-among-young-people-growing-even-as-youth-unemployment-rates-fall#headline,Podcast - Youth employment: Why are anxieties among young people growing even as youth unemployment rates fall?,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,Youth employment topic portal on new website,Enabling Outcome A,https://www.ilo.org/topics-and-sectors/youth-employment,Support with migration of youth employment content to new topic portal on ilo.org ,Yes,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,Podcast - How young refugees are using skills and entrepreneurship to find independence,Enabling Outcome A,https://voices.ilo.org/podcast/how-young-refugees-are-using-skills-and-entrepreneurship-to-find-independence#headline,Podcast - How young refugees are using skills and entrepreneurship to find independence,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,Podcast - The social justice challenge for African youth,Enabling Outcome A,https://voices.ilo.org/podcast/social-justice-challenge-for-african-youth#headline ,Podcast - The social justice challenge for African youth,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,Podcast - The social justice challenge for youth in Colombia,Enabling Outcome A,https://voices.ilo.org/es-es/podcast/en-colombia-crear-empleo-decente-anima-a-los-jovenes-a-quedarse-en-el-campo#headline ,Podcast - The social justice challenge for youth in Colombia,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,ILO in Action video - Cote d'Ivoire,Enabling Outcome A,https://www.ilo.org/resource/article/ilo-action-c%C3%B4te-divoire ,ILO in Action video - Cote d'Ivoire,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,ILO in Action video - Colombia,Enabling Outcome A,https://www.ilo.org/resource/news/empowering-colombian-students-senatec-project ,ILO in Action video - Colombia,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,ILO social media content,Enabling Outcome A,https://live.ilo.org/event/world-youth-skills-day-2024-2024-07-15 ,ILO Live broadcast,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,Interactive dialogue and launch of "Work Wise Youth: A guide to youth rights at work",Enabling Outcome A,https://live.ilo.org/event/interactive-dialogue-and-launch-work-wise-youth-guide-youth-rights-work-2024-02-14 ,ILO Live broadcast,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,Event on youth challenge in Africa,Enabling Outcome A,https://live.ilo.org/event/social-justice-african-youth-challenge-2024-02-23 ,ILO Live broadcast,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0015,Communication and Public Information,ILO social media content,Enabling Outcome A,https://trello.com/b/5BXjkre2/ilo-social-media,ILO social media content,No,best practices/lessons learned,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,2024
USR-202506-0016,"Sustainable Enterprises, Productivity and Just Transition",,,,,,,,,,2024
USR-202506-0017,Sectoral Policies,ILO-IFAD brief,GLO433 and GLO435," https://www.ilo.org/publications/elevating-potential-rural-youth-paths-decent-jobs-and-sustainable-futures-1#:~:text=ILO%20brief-,Elevating%20the%20potential%20of%20rural%20youth%3A%20Paths,Decent%20Jobs%20and%20Sustainable%20Futures&text=The%20ILO%20policy%20brief%20addresses,of%20the%20rural%20labour%20market.","The ILO policy brief addresses the urgent need to create decent jobs for rural youth by examining both the demand and supply sides of the rural labour market.?Capitalizing on the lessons learned from the IFAD-sponsored ProAgro YOUTH and JOY projects, the brief outlines various policy actions and recommendations to foster a policy? environment conducive to rural youth employment.Importantly, it also stresses the importance of social dialogue and rights at work. The brief underlines as well how effective partnerships to advance coordinated efforts among stakeholders, including government bodies, employers and workers organizations and youth organizations, are key to create sustainable job opportunities and address the unique challenges faced by rural youth.",No,Technical Report,New,extrabudgetary,Youth only,2024
USR-202506-0017,Sectoral Policies,,,,,,,,,,2024
USR-202506-0017,Sectoral Policies,,,,,,,,,,2024
USR-202506-0018,Universal Social Protection,Work Wise Youth: A Guide to Youth Rights at Work (session 5),Outcome 7- GLO371,https://www.ilo.org/WorkWiseYouth,,No,Guidance/Tools,New,Regular Budget,Youth only,2024
USR-202506-0018,Universal Social Protection,"The promise of universal child benefits: 
The foundational policy for economic and social development",Outcome 7- GLO371,https://www.social-protection.org/gimi/Media.action?id=19447,,No,Technical Report,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0018,Universal Social Protection,"World Social Protection Report 2024-26: USP for climate action and a just transition (Chap.2.2.2, 4.2.6)",Outcome 7- GLO373,https://www.ilo.org/publications/flagship-reports/world-social-protection-report-2024-26-universal-social-protection-climate,,Yes,Technical Report,Produced regularly,Regular Budget,Youth are one of the target groups,2024
USR-202506-0019,Region: Arab States,Arab States Employment and Social Outlook - Trends 2024: Promoting social justice through a just transition,A.2,https://www.ilo.org/publications/major-publications/arab-states-employment-and-social-outlook-trends-2024-promoting-social,"The report offers an in-depth analysis of the economic and employment landscape in the Arab States, with a focus on disadvantaged groups including the youth and the challenges they face. Emphasizing social justice, the report highlights opportunities for more inclusive and equitable labour markets, examining regional trends while drawing on national examples where relevant.",Yes,Technical Report,New,Regular Budget,Youth are one of the target groups,2024
USR-202506-0020,Region: Asia and the Pacific,"Promoting youth employment in Songkhla and Yala, Thailand",,https://www.ilo.org/publications/promoting-youth-employment-songkhla-and-yala-thailand,"It provides description of the socioeconomic context of Songkhla and Yala, and the labour market situation (up to 2022).",No,Technical Report,New,Regular Budget,Youth only,2024
USR-202506-0020,Region: Asia and the Pacific,Work wise youth: A guide to youth rights at work,MNG155,https://www.ilo.org/WorkWiseYouth?lang=mn,Translation and local adaption,No,Guidance/Tools,New,extrabudgetary,Youth only,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,2024
USR-202506-0020,Region: Asia and the Pacific,,,,,,,,,,2024
USR-202506-0022,Region: Arab States,Cooperative Sector Strategy (2024?C2029,DWCP Palestine / GLO/COOP,,"Strategic framework outlining vision, goals, and priorities for cooperative development in Palestine",Yes,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0022,Region: Arab States,Cooperative Audit Manua,DWCP Palestine / GLO/COOP,,"Manual to standardize cooperative auditing practices, developed with Jordan Cooperative Corporation.",No,Guidance/Tools,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0022,Region: Arab States,Staff Capacity Building (CWA),DWCP Palestine / GLO/COOP,,"Training conducted for CWA staff on cooperative management, auditing, and strategic planning.",No,best practices/lessons learned,Produced regularly,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0022,Region: Arab States,Cooperative Business Plan Competition,DWCP Palestine / GLO/COOP,,University-based competition to promote youth-led cooperative business models.,Yes,best practices/lessons learned,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0022,Region: Arab States,Integration of ILO's Think.COOP and Start.COOP into University Incubators,DWCP Palestine / GLO/COOP,,Incorporation of ILO tools into youth incubation programs at Al-Quds University.,No,Guidance/Tools,New,extrabudgetary,Youth only,2024
USR-202506-0022,Region: Arab States,Feasibility Study and Legal Mapping for Childcare Cooperative,DWCP Palestine / GLO/COOP,,"Study to support the establishment of a childcare cooperative with PGFTU, including legal and institutional analysis",No,Technical Report,,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0022,Region: Arab States,Marketing and Packaging Support Toolkit,DWCP Palestine / GLO/COOP,,"Toolkit for women-led cooperatives on packaging, branding, and market access, developed with WFP.",No,Guidance/Tools,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0022,Region: Arab States,Knowledge Exchange with Italian Institutions,DWCP Palestine / GLO/COOP,,Documentation of engagement with Legacoop and academic institutions to share cooperative knowledge.,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0022,Region: Arab States,Outreach and Communication,DWCP Palestine / GLO/COOP,,"Facilitated MoUs with Roma Tre, Bologna, and others for academic and technical cooperation.",No,best practices/lessons learned,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Employment and Trade Impacts of the Wadi Al Arab Water System II Project in Jordan, JOR101,https://www.ilo.org/publications/employment-and-trade-impacts-wadi-al-arab-water-system-ii-project-jordan,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",'valuation de l'impact sur l'emploi et le commerce au Maroc,MAR102,https://www.ilo.org/fr/publications/evaluation-de-limpact-sur-lemploi-et-le-commerce-au-maroc,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Employment and Trade Impact Assessment of the 'Kafr El Sheikh Wastewater Expansion Program' in Egypt (unpublished),EGY106,,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",'valuation de l'impact sur l'emploi et le commerce en Tunisie,TUN103,https://www.ilo.org/fr/publications/evaluation-de-limpact-sur-lemploi-et-le-commerce-en-tunisie,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Skills for Trade and Economic
Diversification (STED) Analysis of the
Engineering Products and Services
Sectors in Jordan",JOR101,https://www.ilo.org/publications/exploring-employment-opportunities-jordan%E2%80%99s-engineering-sector,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Comp'tences pour le Commerce et
la Diversification 'conomique (STED)
de la cha?ne de valeur de la branche
de la bonneterie au Maroc (unpublished)",MOR103,,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Skills for Trade and Economic
Diversification (STED) and Trade
and Value Chains in Employment-
Rich Activities (TRAVERA) within
the value chain of aromatic and
medicinal plants in Tunisia (unpublished)",TUN101+102,,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","TRAVERA-STED analysis of the Sugar, Sugar Confectionary and Chocolate in Egypt (unpublished)",EGY101,,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Nacala road corridor (NTL study)(July 2024),GLO431,https://www.ilo.org/publications/employment-impact-assessment-luangwa-mwami-road-part-interregional-nacala,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",PNDP (September 2024),GLO432,https://www.ilo.org/publications/employment-impact-assessment-11th-european-development-fund-national,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",Malawi-Mozambique Interconnector (November 2024),GLO433,https://www.ilo.org/publications/mozambique-malawi-interconnector-project-malawi,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods","Credit Guarantee Schemes, MSME access to finance and Productivity in Rwanda (July 2024)",GLO434,https://www.ilo.org/publications/credit-guarantee-schemes-msme-access-finance-and-labour-productivity-africa,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",GMG long-term impacts (August 2024),GLO435,https://www.ilo.org/publications/employment-impact-assessment-productive-use-energy-pue-green-mini-grid-gmg,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",GMG additional sites (December 2024),GLO436,https://www.ilo.org/publications/employment-impact-assessment-gmg-additional-20,,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,2024
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods","Global Employment Trends for Youth 2024: Decent work, brighter futures",GLO435,https://www.ilo.org/publications/major-publications/global-employment-trends-youth-2024,"This report represents the 20th anniversary publication of the ILO's Global Employment Trends for Youth (hereafter 'GET for Youth'). As an anniversary edition, this GET for Youth looks back on what has been achieved since the dawn of the twenty-first century while also looking ahead to what may lay in store for youth employment in an era characterized by crises and uncertainties.",Yes,Technical Report,Produced regularly,Regular Budget,Youth only,2024
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",Regional briefs associated to the GET Youth 2024,GLO435,https://www.ilo.org/publications/major-publications/global-employment-trends-youth-2024,"Five regional briefs highlighted latest trends per region: Asia and the Pacific, Americas, Europe and Central Asia, Middle East and North Africa, Sub-Saharan Africa",Yes,Technical Report,Produced regularly,Regular Budget,Youth only,2024
USR-202506-0025,Region: Asia and the Pacific,Youth Entrepreneurship Promotion,,https://www.ilo.org/projects-and-partnerships/projects/south-asia-leadership-entrepreneurship-sale-%E2%80%93-sri-lanka ,Promoted youth entrepreneurship through training and mentoring in Sri Lanka,Yes,best practices/lessons learned,New,extrabudgetary,Youth only,2024
USR-202506-0025,Region: Asia and the Pacific,Labour migration research,,https://www.ilo.org/sites/default/files/2024-06/Report-Labour%20Market-Migrant%20Workers-SriLanka-2023.pdf,Conducted research on international migration opportunities for youth and skills mapping,No,Working paper,Produced regularly,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0025,Region: Asia and the Pacific,Impact of MSMEs,,https://www.ilo.org/publications/impact-multiple-crises-sri-lankas-micro-small-and-medium-sized-enterprises ,Research on the role of MSMEs in providing (youth) employment amidst economic challenges,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0025,Region: Asia and the Pacific,Statistical brief: Sri Lanka's labour market during the economic crisis of 2022-2023,,https://researchrepository.ilo.org/esploro/outputs/encyclopediaEntry/Sri-Lankas-labour-market-during-the/995350718702676/filesAndLinks?index=0,Policy insights and analysis on (youth) migration trends and opportunities,No,Guidance/Tools,Produced regularly,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0025,Region: Asia and the Pacific,Northern Province Growth Diagnostic Study,,https://www.ilo.org/projects-and-partnerships/projects/promoting-advancement-vulnerable-persons-and-enterprises-pave-project,"Analysis of key sectors with potential for growth and employment in Sri Lanka's Northern Province. (PAVE, final version not yet published)",No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0025,Region: Asia and the Pacific,A study on comparability of TVET systems and qualification between Philippines and Sri Lanka.,LKA102(Output 3.2) ,ILO Colombo,"The aim was  to Compare qualifications between Sri Lanka and the Philippines. This will foster education and training mobility, mutual recognition of qualifications, educational collaboration, fair employment opportunities, and international recognition of educational institutions. By establishing a system of equivalence, both countries can promote academic and professional exchange, facilitate the movement of skilled workers, and enhance the overall quality of education and training",No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0025,Region: Asia and the Pacific,Labour migration research,LKA 154,https://www.ilo.org/publications/labour-market-supply-and-demand-sri-lankan-migrant-workers,"The ILO conducted extensive research on migration trends, focusing on (youth) employment opportunities abroad. The research identified high-demand sectors for youth, such as construction, healthcare, and IT, and provided recommendations for aligning local education and skills training with these global job demands. This led to policy recommendations that support youth migration and ease the skills gap in both local and international markets",No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
USR-202506-0026,Region: Asia and the Pacific,policy brief on NEET,PAK 176,not published,"a brief on challenges and policy priorities, recommendations for policy discourse ",No,Working paper,New,,Youth are one of the target groups,2024
USR-202506-0026,Region: Asia and the Pacific,policy brief on Employment outlook in times of austerity,PAK 176,not published,a brief on employment outlook post floods and macro economic analysis and impact on jobs ,No,Working paper,New,,Youth are one of the target groups,2024
USR-202506-0026,Region: Asia and the Pacific,"value chain mapping of textiles, construction and fruits and vegetables","PAK 176
PAK 204",https://www.ilo.org/publications/building-inclusive-markets-afghan-refugees-and-host-communities-pakistan,a mapping study of value chain mapping in three sectors using Approaches to Inclusive Market Systems for Afghan Refugees and Host Communities,No,Technical Report,New,extrabudgetary,Youth are one of the target groups,2024
